#        MG                      KR
# nodes aveWC, var, Memory, MV, GS, HE P
96       3498    0  0 1175 0 0 0        6439 0 1168 3129 612 290 0                          
216 1476 0 729 427 153 140 0  2648   0 728 1192 275 151 0
384 957  40 624 230 109 62 48 1754 40 621 577 426 74 46
864 757 45 571 111 162 83 61 934 50 567 205 250 35 56
1536 842 50 548 74 174 40 63 821 65 542 103 203 29 76
3456 1501.30 70 479 31.5 315.3 37.5 159.13 1322 80 479 34 698 33 96.5
