# nodes, SI MG, Schur-pre MG, iter_ts MG, WC_MG, SI KR, Schur-pre KR iter_ts WC_Kr, LV
96  2030 1027 3330 3498                          5040 3969 6271 6431 48
216 779 362 1330 1469                            2002 1553 2540 2643 32
384 404 199 712 896                              1203 888 1538 1691 24 
864 239.78 122.67 390 690                        497.13 368.67 637 864 16
1536 161.67 72.85 256 780                        287.99 218.99 367 736 12
3456 125.48 55.89 178.47 1401.67                 450.26 280.94 512.31 1230.63 8
