1 12 56.98
1 24 33.25
1 6 104.18
2 12 55.18
2 24 33.06
2 6 102.66
3 12 56.04
3 24 32.71
3 6 103.29
6 12 54.41
6 24 32.23
6 6 110.81
9 12 57.83
9 24 33.33
9 6 116.80
