||=           Routine            =||=   min time(s)     =||=   mean time(s)    =||=   max time(s)     =||=     No. calls     =||=       %time       =||= time per call(s)  =||
||                          gungho||               829.83||               829.84||               829.89||                    1||               100.00||               829.84||
||                       init_mesh||                 0.96||                 0.98||                 1.00||                    1||                 0.12||                 0.98||
||                        init_fem||                 0.66||                 0.68||                 0.71||                    1||                 0.08||                 0.68||
||                       init_xios||                88.81||                88.82||                88.82||                    1||                10.70||                88.82||
||                       init_orog||                 0.44||                 0.44||                 0.44||                    1||                 0.05||                 0.44||
||               runtime_constants||                20.03||                20.05||                20.07||                    1||                 2.42||                20.05||
||           runtime_constants_alg||                20.03||                20.05||                20.07||                    1||                 2.42||                20.05||
||         geometric_constants_alg||                 2.29||                 2.29||                 2.30||                    1||                 0.28||                 2.29||
||               fem_constants_alg||                14.83||                15.55||                15.63||                    1||                 1.87||                15.55||
||       physical_op_constants_alg||                 1.77||                 1.85||                 2.56||                    1||                 0.22||                 1.85||
||         intermesh_constants_alg||                 0.32||                 0.32||                 0.33||                    1||                 0.04||                 0.32||
||               create_model_data||                 1.28||                 1.39||                 1.46||                    1||                 0.17||                 1.39||
||           initialise_model_data||                 0.48||                 0.48||                 0.48||                    1||                 0.06||                 0.48||
||                        set_wind||                34.94||                41.07||                48.17||                  481||                 4.95||                 0.09||
||          mass_matrix_solver_alg||                52.19||                58.45||                63.88||                 1066||                 7.04||                 0.05||
||            write_initial_output||                44.98||                44.98||                44.98||                    1||                 5.42||                44.98||
||                initialise_model||                10.18||                10.18||                10.18||                    1||                 1.23||                10.18||
||         si_operators_alg:create||                 0.03||                 0.03||                 0.04||                    1||                 0.00||                 0.03||
||                     gungho_step||               654.75||               654.84||               654.90||                  120||                78.91||                 5.46||
||      semi_implicit_timestep_alg||               654.72||               654.80||               654.85||                  120||                78.91||                 5.46||
||              map_physics_fields||                 1.59||                 1.65||                 1.74||                  120||                 0.20||                 0.01||
||                    slow_physics||               122.04||               122.49||               125.33||                  120||                14.76||                 1.02||
||              fsd_condensate_alg||                 0.17||                 0.19||                 0.19||                  120||                 0.02||                 0.00||
||           locate_tropopause_alg||                 0.01||                 0.02||                 0.03||                  120||                 0.00||                 0.00||
