||=           Routine            =||=   min time(s)     =||=   mean time(s)    =||=   max time(s)     =||=     No. calls     =||=       %time       =||= time per call(s)  =||
||              glomap_aerosol_alg||                 4.05||                 4.17||                 4.23||                  120||                 0.50||                 0.03||
||               strat_aerosol_alg||                 0.01||                 0.01||                 0.02||                  120||                 0.00||                 0.00||
||                       mphys_alg||                 4.19||                 9.36||                11.89||                  120||                 1.13||                 0.08||
||                      radaer_alg||                17.51||                19.48||                20.53||                  120||                 2.35||                 0.16||
||                  illuminate_alg||                 0.06||                 0.07||                 0.07||                  120||                 0.01||                 0.00||
||                    rad_tile_alg||                 2.13||                 2.94||                 3.29||                  120||                 0.35||                 0.02||
||                    sw_radiation||                 7.48||                10.47||                12.88||                  120||                 1.26||                 0.09||
||                 radiation_diags||                 0.08||                 0.09||                 0.13||                  120||                 0.01||                 0.00||
||                    lw_radiation||                11.29||                15.80||                19.53||                  120||                 1.90||                 0.13||
||            pc2_rad_response_alg||                 0.28||                 0.29||                 0.33||                  120||                 0.04||                 0.00||
||                spectral_gwd_alg||                 1.47||                 2.03||                 3.77||                  120||                 0.24||                 0.02||
||             orographic_drag_alg||                 0.07||                 0.31||                 1.04||                  120||                 0.04||                 0.00||
||                      methox_alg||                 0.01||                 0.01||                 0.02||                  120||                 0.00||                 0.00||
||                      bl_exp_alg||                22.03||                23.27||                24.04||                  120||                 2.80||                 0.19||
||                    bl_exp_diags||                 0.00||                 0.00||                 0.00||                  120||                 0.00||                 0.00||
||                  pc2_checks_alg||                 0.19||                 0.20||                 0.21||                  120||                 0.02||                 0.00||
||                         rhs_alg||                23.37||                26.24||                28.06||                  832||                 3.16||                 0.03||
||        gungho_transport_control||               195.13||               196.15||               197.10||                  240||                23.64||                 0.82||
||            mol_conservative_alg||                62.46||                63.18||                63.62||                 1200||                 7.61||                 0.05||
||                  wind transport||                32.37||                32.71||                32.93||                  240||                 3.94||                 0.14||
||    moist mixing ratio transport||                50.65||                51.42||                51.82||                  240||                 6.20||                 0.21||
||     tracer collection transport||                70.85||                72.65||                73.67||                  480||                 8.75||                 0.15||
||            calc_phys_predictors||                23.65||                24.99||                25.61||                  240||                 3.01||                 0.10||
||                    fast_physics||                57.54||                58.05||                59.77||                  240||                 6.99||                 0.24||
||                     conv_gr_alg||                 5.96||                10.67||                21.97||                  240||                 1.29||                 0.04||
||                      conv_diags||                 0.20||                 0.35||                 0.43||                  240||                 0.04||                 0.00||
||           pc2_conv_coupling_alg||                 1.03||                12.76||                19.16||                  240||                 1.54||                 0.05||
||                      bl_imp_alg||                14.01||                14.65||                15.96||                  480||                 1.77||                 0.03||
||                    bl_imp_diags||                 0.18||                 0.19||                 0.20||                  240||                 0.02||                 0.00||
||        si_operators_alg:compute||                70.49||                70.54||                70.58||                  120||                 8.50||                 0.59||
||        semi_implicit_solver_alg||               147.39||               147.79||               148.37||                  480||                17.81||                 0.31||
||                    mixed_solver||               140.17||               140.70||               141.47||                  480||                16.95||                 0.29||
||  mixed_schur_preconditioner_alg||                66.42||                67.90||                69.23||                 4941||                 8.18||                 0.01||
||                 mixed_schur rhs||                23.88||                24.86||                26.47||                 4941||                 3.00||                 0.01||
||               mixed_schur solve||                27.85||                29.05||                30.28||                 4941||                 3.50||                 0.01||
||                   helmholtz lhs||                13.45||                15.79||                17.67||                74115||                 1.90||                 0.00||
||           schur back substitute||                11.48||                12.26||                13.97||                 4941||                 1.48||                 0.00||
||                  mixed_operator||                45.79||                47.23||                49.13||                 4941||                 5.69||                 0.01||
||                 jules_extra_alg||                 0.11||                 0.91||                 2.77||                  120||                 0.11||                 0.01||
||                jules_snow_diags||                 0.00||                 0.00||                 0.00||                  120||                 0.00||                 0.00||
||                jules_soil_diags||                 0.00||                 0.00||                 0.00||                  120||                 0.00||                 0.00||
||                         cld_alg||                 1.31||                 1.42||                 1.53||                  120||                 0.17||                 0.01||
||                       cld_diags||                 0.00||                 0.00||                 0.00||                  120||                 0.00||                 0.00||
||        pc2_pressure_forcing_alg||                 0.29||                 0.32||                 0.36||                  120||                 0.04||                 0.00||
||              pc2_initiation_alg||                 0.94||                 1.05||                 1.19||                  120||                 0.13||                 0.01||
||       gungho_diagnostics_driver||                 0.00||                 0.00||                 0.00||                  120||                 0.00||                 0.00||
||                    update_ancil||                 0.00||                 0.00||                 0.00||                  120||                 0.00||                 0.00||
