# ts, phys2, adv, solver, phys1
## MG
128  1994.24 702.28 498.85 355.05 308.52
512   544.37 176.61 145.76 105.94  82.17
1024  303.85  89.63  89.27  62.99  41.37
2048  176.36  47.71  52.62  39.31  21.6
#
## EG
128  2607.45 703.95 493.42 965.73 309.17
512   629.65 177.53 148.02 196.27  82.16
1024  347.17  89.29  91.98  96.12  41.16
2048  205.0   47.76  53.91  66.71  21.68
