# T max_WC user MVK PGB MLU HE GS OM
1 770.32 80.2 8.0 6.1 5.5 7.4 4.8 0.0
2 768.61 77.1 7.5 5.7 5.1 6.6 3.7 1.4 
3 782.59 74.8 7.0 5.5 4.9 6.8 3.5 3.3
6 835.72 69.8 6.4 5.1 4.5 7.9 3.0 6.0  
9 847.35 67.2 6.0 4.7 4.2 10.9 2.4 3.1 
